german,english
der,the
und,and
die,the
in,in
von,from
mit,with
zu,to
ist,is
für,for
Die,The
des,des
das,the
im,in the
wurde,became
auf,on
sich,itself
dem,dem
ein,a
als,as
er,he
Sie,She
eine,one
nicht,not
auch,also
werden,become
es,it
ich,I
an,to
war,was
sind,are
Das,The
Der,The
oder,or
aus,out of
bei,at
sie,she
bis,until
wird,becomes
nach,after
einer,one
dass,that
am,on
einen,a
wie,How
zum,for the
einem,one
über,above
scheint,appears
um,around
In,In
können,can
wir,we
hat,has
Ich,I
zur,to
nur,only
durch,through
Im,In the
wurden,became
kann,can
haben,have
so,so
man,man
aber,but
vor,before
Er,He
mehr,more
Jahr,Year
uns,us
mich,me
mir,me
wenn,if
Es,It
seiner,his
sein,be
seine,his
dann,then
was,What
sehr,very
hatte,had
du,you
zwei,two
diese,this
Jahre,Years
unter,under
Wir,We
dieser,this
Nach,After
Ein,A
vom,from the
gibt,gives
waren,were
immer,always
schon,already
hier,here
jedoch,however
sowie,as well as 
Schweiz,Switzerland
Jahren,years
Mit,With
ihr,her
wieder,again
Du,You
Frau,Woman
Am,On
eines,one
alle,all
mal,just
bin,am
zwischen,between
keine,no
Zeit,Time
ihre,her
sucht,seeks
Eine,One
ab,away
einfach,simply
Frauen,Women
habe,have
Und,And
drei,three
da,there
Menschen,People
beim,at the
ersten,first
Wien,Vienna
Erotik,eroticism
ohne,without
Für,For
Prozent,percent
etwa,approximately
Österreich,Austria
Wochen,weeks
Bei,At
finden,find
muss,must
diesem,this one
Wenn,If
ganz,quite
Auch,Also
seinen,his
Ihre,Her
Diese,This
Als,As
Ende,End
neue,new
seinem,his
ihm,him
konnte,could
gut,good
seit,since
Deutschland,Germany
gegen,against
anderen,others
etwas,something
müssen,must
Stadt,City
ihrer,theirs
Unternehmen,Pursue
Mann,Man
welche,which
viele,many
viel,much
bereits,already
damit,with it
machen,make
dabei,included
später,later
gerne,gladly
Euro,euro
Von,From
Schweizer,Swiss
beiden,both
ihn,him
jetzt,now
selbst,himself
dich,you
neuen,new
erste,first
Wie,How
sondern,rather
soll,should
heute,today
doch,but
alles,everything
unsere,our
Kinder,Children
sei,be
Ihr,Her
geht,goes
lassen,let
ja,Yes
gab,gave
So,So
kam,came
Teil,Part
Was,What
kostenlos,for free
vier,four
unserer,ours
Zürich,Zurich
dieses,this
Jahrhundert,century
bzw.,or
bietet,offers
Seit,Since
sollte,should
andere,other
würde,would
Aber,But
Auf,On
ihren,your
gibt,gives
es,it
dort,there
während,while
dir,you
rund,around
steht,stands
ob,whether
erotische,erotic
nun,so
Hier,Here
weitere,more
Swingerclub,Swingers club
Kirche,Church
Oktober,October
Berlin,Berlin
Männer,Men
dazu,in addition
